\,A,T,9,8,7,6,5,4,3,2
20,-0.8994,-0.8657,-0.8548,-0.8562,-0.8562,-0.8572,-0.8593,-0.8578,-0.8618,-0.8615
19,-0.8056,-0.7522,-0.7154,-0.7160,-0.7142,-0.7279,-0.7278,-0.7332,-0.7268,-0.7305
18,-0.7422,-0.6721,-0.6132,-0.5922,-0.5878,-0.6099,-0.6157,-0.6143,-0.6155,-0.6181
17,-0.6845,-0.6103,-0.5451,-0.5005,-0.4833,-0.5050,-0.5210,-0.5287,-0.5287,-0.5335
16,-0.6566,-0.5675,-0.4974,-0.4540,-0.4106,-0.4213,-0.4478,-0.4515,-0.4644,-0.4716
15,-0.6310,-0.5294,-0.4583,-0.4098,-0.3628,-0.3575,-0.3720,-0.3874,-0.3961,-0.4078
14,-0.6023,-0.4938,-0.4231,-0.3642,-0.3046,-0.2875,-0.3095,-0.3257,-0.3412,-0.3510
13,-0.5690,-0.4517,-0.3721,-0.3089,-0.2544,-0.2238,-0.2503,-0.2620,-0.2829,-0.3011
12,-0.5390,-0.4118,-0.3225,-0.2622,-0.1980,-0.1628,-0.1840,-0.2067,-0.2228,-0.2392
11,-0.2015,0.0347,0.1504,0.2219,0.2817,0.3261,0.2995,0.2732,0.2486,0.2283
10,-0.2523,-0.0588,0.1097,0.1837,0.2440,0.2775,0.2459,0.2166,0.1974,0.1658
9,-0.3543,-0.2164,-0.0607,0.0867,0.1593,0.1762,0.1441,0.1177,0.0896,0.0666
8,-0.4381,-0.3044,-0.2058,-0.0605,0.0737,0.1073,0.0614,0.0282,-0.0040,-0.0305
7,-0.5189,-0.3663,-0.2813,-0.2058,-0.0674,0.0152,-0.0183,-0.0497,-0.0873,-0.1180
6,-0.5034,-0.3711,-0.2798,-0.2097,-0.1387,-0.0167,-0.0436,-0.0799,-0.1146,-0.1491
5,-0.4957,-0.3543,-0.2588,-0.1754,-0.1142,-0.0099,-0.0326,-0.0705,-0.1024,-0.1389
4,-0.4703,-0.3312,-0.2277,-0.1498,-0.0809,0.0040,-0.0235,-0.0565,-0.0924,-0.1193
A9,-0.2492,-0.0573,0.1126,0.1864,0.2451,0.2756,0.2418,0.2192,0.1927,0.1705
A8,-0.3149,-0.1572,0.0067,0.1426,0.2072,0.2292,0.1938,0.1643,0.1353,0.1150
A7,-0.3701,-0.2024,-0.0979,0.0386,0.1612,0.1825,0.1350,0.1068,0.0785,0.0595
A6,-0.4211,-0.2482,-0.1415,-0.0676,0.0509,0.1197,0.0796,0.0505,0.0205,-0.0045
A5,-0.4140,-0.2545,-0.1364,-0.0578,0.0026,0.0917,0.0673,0.0305,0.0052,-0.0253
A4,-0.3907,-0.2174,-0.0955,-0.0135,0.0516,0.1135,0.0840,0.0513,0.0299,-0.0090
A3,-0.3510,-0.1795,-0.0566,0.0274,0.0934,0.1365,0.1020,0.0703,0.0435,0.0178
A2,-0.3379,-0.1529,-0.0262,0.0673,0.1350,0.1587,0.1284,0.0911,0.0675,0.0493
AA,-0.3017,-0.1226,0.0180,0.1105,0.1781,0.1965,0.1562,0.1399,0.1165,0.0934
