\,A,T,9,8,7,6,5,4,3,2
20,-0.8963,-0.8439,-0.8351,-0.8313,-0.8378,-0.8388,-0.8386,-0.8408,-0.8358,-0.8440
19,-0.8281,-0.7635,-0.7282,-0.7211,-0.7212,-0.7354,-0.7347,-0.7352,-0.7446,-0.7461
18,-0.7824,-0.7129,-0.6582,-0.6223,-0.6200,-0.6361,-0.6427,-0.6484,-0.6593,-0.6592
17,-0.7456,-0.6779,-0.6134,-0.5601,-0.5312,-0.5521,-0.5692,-0.5795,-0.5842,-0.5907
16,-0.7313,-0.6518,-0.5857,-0.5318,-0.4850,-0.4914,-0.5090,-0.5203,-0.5337,-0.5479
15,-0.7169,-0.6250,-0.5534,-0.4980,-0.4585,-0.4306,-0.4470,-0.4673,-0.4831,-0.4951
14,-0.6719,-0.5640,-0.4876,-0.4285,-0.3797,-0.3295,-0.3444,-0.3662,-0.3894,-0.4130
13,-0.6193,-0.5030,-0.4136,-0.3517,-0.2958,-0.2330,-0.2487,-0.2765,-0.3031,-0.3239
12,-0.5841,-0.4504,-0.3514,-0.2731,-0.2190,-0.1409,-0.1480,-0.1862,-0.2166,-0.2430
11,-0.2209,0.0629,0.2083,0.2906,0.3613,0.4424,0.4210,0.3786,0.3385,0.3013
10,-0.2669,-0.0424,0.1642,0.2553,0.3249,0.3956,0.3681,0.3218,0.2690,0.2431
9,-0.3859,-0.2475,-0.0469,0.1366,0.2237,0.2932,0.2611,0.2146,0.1609,0.1147
8,-0.4910,-0.3468,-0.2328,-0.0607,0.1157,0.2033,0.1732,0.1182,0.0609,0.0058
7,-0.5743,-0.4236,-0.3351,-0.2429,-0.0714,0.1110,0.0814,0.0291,-0.0276,-0.0872
6,-0.5834,-0.4524,-0.3500,-0.2708,-0.1992,0.0554,0.0563,-0.0080,-0.0637,-0.1193
5,-0.5642,-0.4349,-0.3290,-0.2509,-0.1771,0.0636,0.0625,0.0021,-0.0620,-0.1195
4,-0.5290,-0.3900,-0.2789,-0.1927,-0.1185,0.0871,0.0810,0.0167,-0.0390,-0.0919
A9,-0.2658,-0.0377,0.1574,0.2523,0.3236,0.3936,0.3697,0.3230,0.2769,0.2457
A8,-0.3553,-0.1991,-0.0006,0.1723,0.2600,0.3208,0.2914,0.2418,0.1923,0.1475
A7,-0.4352,-0.2721,-0.1587,0.0140,0.1798,0.2581,0.2219,0.1654,0.1107,0.0650
A6,-0.5093,-0.3401,-0.2281,-0.1344,0.0152,0.1731,0.1479,0.0952,0.0384,-0.0119
A5,-0.5166,-0.3605,-0.2418,-0.1594,-0.0932,0.1317,0.1206,0.0622,0.0104,-0.0451
A4,-0.4978,-0.3412,-0.2152,-0.1210,-0.0583,0.1404,0.1334,0.0724,0.0198,-0.0356
A3,-0.4475,-0.2766,-0.1379,-0.0472,0.0214,0.1783,0.1683,0.1111,0.0584,0.0094
A2,-0.4016,-0.2182,-0.0696,0.0244,0.0922,0.2120,0.1977,0.1431,0.0951,0.0391
AA,-0.3626,-0.1752,-0.0173,0.0931,0.1667,0.2438,0.2303,0.1792,0.1211,0.0863
