\,A,T,9,8,7,6,5,4,3,2
AA,-0.1709,0.1209,0.3185,0.4814,0.6090,0.8341,0.7847,0.7131,0.6359,0.5836
22,-0.6138,-0.6295,-0.3754,-0.1936,-0.0373,0.2122,0.1892,0.0802,-0.0197,-0.0998
33,-0.6609,-0.6834,-0.4547,-0.2902,-0.1311,0.1914,0.1641,0.0516,-0.0614,-0.1608
44,-0.7164,-0.7550,-0.5444,-0.3645,-0.2293,0.1378,0.1376,0.0150,-0.0973,-0.2024
55,-0.7717,-0.8496,-0.6298,-0.4671,-0.3283,0.1017,0.0786,-0.0216,-0.1264,-0.2388
66,-0.8057,-0.8684,-0.6812,-0.5270,-0.3868,0.0921,0.0735,-0.0439,-0.1597,-0.2485
77,-0.7920,-0.8253,-0.6517,-0.4766,-0.1444,0.1912,0.1380,0.0176,-0.0902,-0.1830
88,-0.6174,-0.6767,-0.4644,-0.1248,0.2067,0.3842,0.3051,0.1929,0.0932,0.0042
99,-0.4251,-0.4662,-0.1006,0.2442,0.4086,0.5515,0.4810,0.3794,0.2974,0.2093
TT,-0.1887,-0.0665,0.2886,0.4766,0.6150,0.7475,0.6839,0.6091,0.5121,0.4568
